category,word,score,sentiment
20,20대,1561,Negative
20,여성,158,Negative
20,살해,94,Negative
20,60대,90,Negative
20,냉장고,84,Negative
20,치매,74,Negative
20,환자,58,Negative
20,코로나,54,Negative
20,학대,53,Negative
20,청년,28,Negative
20,코로나19,22,Negative
20,결혼,16,Negative
20,가족,16,Negative
20,사고,14,Negative
20,남녀,13,Negative
20,강제,11,Negative
30,30대,666,Negative
30,여성,86,Negative
30,남성,54,Negative
30,선고,20,Negative
30,장애,11,Negative
40,40대,1284,Negative
40,성폭행,104,Negative
40,일자리,86,Negative
40,여성,52,Negative
40,감소,50,Negative
40,추락,45,Negative
40,경제,37,Negative
40,시신,36,Negative
40,절반,23,Negative
40,청년,23,Negative
40,백골,22,Negative
40,건강,17,Negative
40,3년,13,Negative
40,고민,12,Negative
40,중반,11,Negative
40,경력,8,Negative
50,50대,1488,Negative
50,치매,287,Negative
50,80대,130,Negative
50,노모,117,Negative
50,여성,92,Negative
50,환자,69,Negative
50,폭행,63,Negative
50,경찰,50,Negative
50,어머니,32,Negative
50,교사,29,Negative
50,환청,24,Negative
50,재취업,20,Negative
50,이상,19,Negative
50,내일,6,Negative
60,60대,1162,Negative
60,여성,78,Negative
60,치매,74,Negative
60,일자리,62,Negative
60,남성,60,Negative
60,환자,54,Negative
60,노모,26,Negative
60,20대,22,Negative
60,이상,20,Negative
60,은퇴,17,Negative
60,신고,12,Negative
60,의심,9,Negative
70,70대,1598,Negative
70,노인,469,Negative
70,여성,63,Negative
70,노모,47,Negative
70,경찰,46,Negative
70,남성,44,Negative
70,화재,35,Negative
70,안락사,35,Negative
70,뺑소니,33,Negative
70,사고,32,Negative
70,자살,29,Negative
70,신고,13,Negative
70,증세,12,Negative
70,도로,10,Negative
70,이상,5,Negative
80,80대,1420,Negative
80,살해,113,Negative
80,폭행,75,Negative
80,환자,72,Negative
80,코로나19,60,Negative
80,접종,58,Negative
80,실종,54,Negative
80,아들,43,Negative
80,혐의,32,Negative
80,버스,15,Negative
80,부검,13,Negative
20,40대,17,Positive
40,노안,9,Positive
40,사회,7,Positive
50,50대,347,Positive
50,남성,15,Positive
50,이상,8,Positive
60,60대,154,Positive
60,이상,8,Positive
